country	count
Afghanistan	975
Åland Islands	5
Albania	4434
Algeria	45298
Andorra	78
Angola	71
Antigua and Barbuda	3
Argentina	55298
Armenia	3859
Aruba	5
Australia	41745
Austria	19497
Azerbaijan	2171
Bahrain	105
Bangladesh	18050
Barbados	151
Belarus	17927
Belgium	50356
Belize	19
Benin	447
Bhutan	38
Bolivia	1445
Bosnia and Herzegovina	4982
Botswana	728
Brazil	309259
British Virgin Islands	250
Brunei	482
Bulgaria	15708
Burkina Faso	463
Burundi	62
Cambodia	3764
Cameroon	4595
Canada	321424
Cape Verde	5
Chad	10
Chile	47305
China	2482464
Collectivity of Saint Martin	1
Colombia	79959
Costa Rica	10666
Côte d'Ivoire	2554
Croatia	22000
Cuba	4672
Curaçao	11
Cyprus	3579
Czechia	2918
Czech Republic	27743
Democratic Republic of the Congo	156
Denmark	25137
Djibouti	29
Dominica	2
Dominican Republic	549
Ecuador	15592
Egypt	79473
El Salvador	421
Equatorial Guinea	8
Estonia	3173
Ethiopia	4303
Faroe Islands	3
Fiji	91
Finland	8067
France	243644
French Guiana	45
French Polynesia	47
Gabon	312
Georgia	2303
Germany	140548
Ghana	3483
Gibraltar	2
Greece	54845
Guadeloupe	95
Guam	122
Guatemala	3345
Guernsey	3
Guinea	186
Guinea-Bissau	1
Guyana	40
Haiti	17
Honduras	1106
Hong Kong	111222
Hungary	50672
Iceland	4975
India	871032
Indonesia	167081
Iran	540349
Iraq	16726
Ireland	16882
Isle of Man	5
Israel	15264
Italy	99546
Jamaica	1483
Japan	104556
Jersey	20
Jordan	10762
Kazakhstan	6213
Kenya	3497
Kosovo	32
Kuwait	1891
Kyrgyzstan	73
Laos	260
Latvia	21859
Lebanon	4976
Lesotho	26
Liberia	33
Libya	748
Liechtenstein	24
Lithuania	20174
Luxembourg	17424
Macau	1734
Macedonia (FYROM)	1559
Madagascar	182
Malawi	98
Malaysia	117597
Maldives	6
Mali	123
Malta	2143
Martinique	15
Mauritania	471
Mauritius	2047
Mayotte	29
Mexico	120383
Moldova	13548
Monaco	18
Mongolia	934
Montenegro	207
Morocco	34360
Mozambique	281
Myanmar (Burma)	263
N/A	289662
Namibia	164
Nepal	5294
Netherlands	223128
New Caledonia	180
New Zealand	7452
Nicaragua	275
Niger	84
Nigeria	15085
Northern Mariana Islands	2
North Korea	85
Norway	6745
Oman	1198
Pakistan	107948
Palestine	60
Panama	1475
Papua New Guinea	121
Paraguay	1069
Peru	21472
Philippines	52239
Poland	91364
Portugal	67404
Puerto Rico	4990
Qatar	2250
Republic of the Congo	121
Reunion	353
Romania	102736
Russia	393914
Rwanda	691
Saint Barthélemy	4
Saint-Barthélemy	1
Saint Kitts and Nevis	138
Saint Lucia	1
Saint Vincent and the Grenadines	4
San Marino	12
São Tomé and Príncipe	1
Saudi Arabia	18354
Senegal	719
Serbia	14920
Seychelles	1883
Sierra Leone	19
Singapore	94751
Sint Maarten	1
Slovakia	24658
Slovenia	10387
Somalia	60
South Africa	33672
South Korea	150625
Spain	136405
Sri Lanka	15114
Sudan	1604
Suriname	194
Swaziland	24
Sweden	68749
Switzerland	56859
Syria	3764
Taiwan	137061
Tajikistan	162
Tanzania	2226
Thailand	47045
The Bahamas	25
The Gambia	180
Timor-Leste	79
Togo	87
Trinidad and Tobago	362
Tunisia	44696
Turkey	67563
Turkmenistan	24
Uganda	687
Ukraine	91663
United Arab Emirates	8761
United Kingdom	211499
United States	1291572
Uruguay	8067
U.S. Virgin Islands	14
Uzbekistan	810
Venezuela	25690
Vietnam	78573
Yemen	470
Zambia	84
Zimbabwe	1231
