country	count
Afghanistan	1151
Åland Islands	8
Albania	5746
Algeria	65467
Andorra	97
Angola	133
Antigua and Barbuda	4
Argentina	87917
Armenia	5005
Aruba	5
Australia	57480
Austria	27972
Azerbaijan	2968
Bahrain	123
Bangladesh	24941
Barbados	233
Belarus	24142
Belgium	83069
Belize	26
Benin	599
Bhutan	43
Bolivia	1915
Bosnia and Herzegovina	6231
Botswana	943
Brazil	414154
British Virgin Islands	399
Brunei	1124
Bulgaria	21695
Burkina Faso	558
Burundi	88
Cambodia	4467
Cameroon	6280
Canada	447081
Cape Verde	8
Caribbean Netherlands	3
Chad	14
Chile	70270
China	3939662
Collectivity of Saint Martin	1
Colombia	104819
Comoros	1
Costa Rica	13255
Côte d'Ivoire	3117
Croatia	29875
Cuba	5856
Curaçao	14
Cyprus	4952
Czechia	4083
Czech Republic	39257
Democratic Republic of the Congo	187
Denmark	34358
Djibouti	31
Dominica	4
Dominican Republic	769
Ecuador	19317
Egypt	97471
El Salvador	533
Equatorial Guinea	14
Estonia	4113
Ethiopia	5521
Faroe Islands	3
Fiji	111
Finland	12865
France	347133
French Guiana	57
French Polynesia	57
Gabon	381
Georgia	2934
Germany	192980
Ghana	4323
Gibraltar	3
Greece	89057
Guadeloupe	119
Guam	144
Guatemala	3779
Guernsey	3
Guinea	193
Guinea-Bissau	1
Guyana	42
Haiti	18
Honduras	1277
Hong Kong	168143
Hungary	67783
Iceland	6941
India	1390923
Indonesia	233135
Iran	809196
Iraq	23770
Ireland	23627
Isle of Man	6
Israel	21123
Italy	161505
Jamaica	2021
Japan	157304
Jersey	25
Jordan	13812
Kazakhstan	9048
Kenya	4294
Kosovo	39
Kuwait	2910
Kyrgyzstan	100
Laos	352
Latvia	29412
Lebanon	6628
Lesotho	33
Liberia	38
Libya	922
Liechtenstein	24
Lithuania	28333
Luxembourg	23805
Macau	2535
Macedonia (FYROM)	2010
Madagascar	227
Malawi	125
Malaysia	169082
Maldives	9
Mali	141
Malta	3158
Martinique	22
Mauritania	827
Mauritius	2923
Mayotte	37
Mexico	162996
Moldova	19040
Monaco	31
Mongolia	1277
Montenegro	276
Morocco	51160
Mozambique	403
Myanmar (Burma)	392
N/A	389583
Namibia	231
Nepal	6580
Netherlands	314619
New Caledonia	226
New Zealand	9748
Nicaragua	514
Niger	102
Nigeria	20026
Northern Mariana Islands	2
North Korea	112
Norway	9858
Oman	1753
Pakistan	163603
Palestine	67
Panama	1951
Papua New Guinea	150
Paraguay	1403
Peru	27344
Philippines	65742
Poland	132859
Portugal	97023
Puerto Rico	7472
Qatar	3542
Republic of the Congo	140
Reunion	457
Romania	144440
Russia	530848
Rwanda	794
Saint Barthélemy	4
Saint-Barthélemy	1
Saint Kitts and Nevis	158
Saint Lucia	1
Saint Pierre and Miquelon	1
Saint Vincent and the Grenadines	8
San Marino	14
São Tomé and Príncipe	1
Saudi Arabia	27949
Senegal	964
Serbia	20654
Seychelles	2688
Sierra Leone	38
Singapore	139718
Sint Maarten	3
Slovakia	36018
Slovenia	14491
Somalia	81
South Africa	45813
South Korea	249110
Spain	202313
Sri Lanka	20123
Sudan	2083
Suriname	199
Swaziland	36
Sweden	90475
Switzerland	75103
Syria	5174
Taiwan	210542
Tajikistan	203
Tanzania	2883
Thailand	80838
The Bahamas	28
The Gambia	180
Timor-Leste	87
Togo	100
Trinidad and Tobago	427
Tunisia	66022
Turkey	107973
Turkmenistan	44
Uganda	872
Ukraine	123842
United Arab Emirates	12449
United Kingdom	283332
United States	1669876
Uruguay	10460
U.S. Virgin Islands	16
Uzbekistan	1060
Venezuela	33571
Vietnam	113701
Yemen	816
Zambia	124
Zimbabwe	1992
