country	count
Afghanistan	110
Albania	1115
Algeria	114424
American Samoa	1
Andorra	153
Angola	63
Antigua and Barbuda	10
Argentina	45419
Armenia	1847
Aruba	16
Australia	13212
Austria	16139
Azerbaijan	1404
Bahrain	163
Bangladesh	14880
Barbados	73
Belarus	16966
Belgium	23841
Belize	36
Benin	677
Bermuda	11
Bhutan	175
Bolivia	3487
Bosnia and Herzegovina	3165
Botswana	207
Brazil	245284
British Virgin Islands	74
Brunei	402
Bulgaria	6516
Burkina Faso	2109
Burundi	24
Cambodia	1040
Cameroon	4751
Canada	63402
Cape Verde	107
Caribbean Netherlands	4
Cayman Islands	12
Central African Republic	3
Chad	52
Chile	56926
China	585247
Collectivity of Saint Martin	2
Colombia	80625
Comoros	22
Costa Rica	4781
Côte d'Ivoire	1774
Croatia	16711
Cuba	4947
Curaçao	29
Cyprus	1300
Czechia	653
Czech Republic	10916
Democratic Republic of the Congo	458
Denmark	3760
Djibouti	73
Dominica	2
Dominican Republic	1243
Ecuador	45828
Egypt	84846
El Salvador	435
Eritrea	7
Estonia	1553
Ethiopia	2974
Falkland Islands (Islas Malvinas)	12
Faroe Islands	10
Fiji	82
Finland	3782
France	151683
French Guiana	108
French Polynesia	144
Gabon	258
Georgia	787
Germany	99145
Ghana	4681
Gibraltar	6
Greece	38522
Grenada	6
Guadeloupe	457
Guam	62
Guatemala	1777
Guernsey	7
Guinea	1025
Guinea-Bissau	21
Guyana	60
Haiti	58
Honduras	667
Hong Kong	22773
Hungary	16224
Iceland	446
India	581404
Indonesia	241555
Iran	366512
Iraq	22114
Ireland	11762
Isle of Man	5
Israel	7085
Italy	82833
Jamaica	600
Japan	57018
Jersey	9
Jordan	8234
Kazakhstan	6231
Kenya	2942
Kosovo	15
Kuwait	979
Kyrgyzstan	180
Laos	199
Latvia	4005
Lebanon	4137
Lesotho	10
Liberia	17
Libya	862
Liechtenstein	28
Lithuania	7542
Luxembourg	1193
Macau	2050
Macedonia (FYROM)	2029
Madagascar	1221
Malawi	151
Malaysia	81387
Maldives	39
Mali	480
Malta	1515
Martinique	302
Mauritania	387
Mauritius	2462
Mayotte	40
Mexico	125647
Moldova	2789
Monaco	43
Mongolia	753
Montenegro	304
Montserrat	1
Morocco	93356
Mozambique	152
Myanmar (Burma)	1085
N/A	39690
Namibia	130
Nepal	5657
Netherlands	35355
New Caledonia	240
New Zealand	1576
Nicaragua	652
Niger	225
Nigeria	14972
Northern Mariana Islands	5
North Korea	12
Norway	4762
Oman	1461
Pakistan	71287
Palestine	10
Panama	1933
Papua New Guinea	32
Paraguay	1042
Peru	71033
Philippines	52769
Poland	37376
Portugal	67563
Puerto Rico	1919
Qatar	870
Republic of the Congo	186
Reunion	1372
Romania	27370
Russia	163131
Rwanda	531
Saint-Barthélemy	3
Saint Kitts and Nevis	10
Saint Vincent and the Grenadines	21
San Marino	7
São Tomé and Príncipe	4
Saudi Arabia	10733
Senegal	4501
Serbia	9340
Seychelles	118
Sierra Leone	22
Singapore	54729
Sint Maarten	8
Slovakia	10279
Slovenia	7935
Somalia	173
South Africa	8808
South Korea	37667
South Sudan	4
Spain	111961
Sri Lanka	9618
Sudan	3068
Suriname	237
Swaziland	33
Sweden	5859
Switzerland	22611
Syria	6198
Taiwan	47393
Tajikistan	42
Tanzania	3553
Thailand	23414
The Bahamas	24
The Gambia	56
Timor-Leste	2
Togo	497
Tonga	2
Trinidad and Tobago	526
Tunisia	122078
Turkey	80242
Turkmenistan	24
Uganda	1142
Ukraine	32932
United Arab Emirates	3665
United Kingdom	63445
United States	196350
Uruguay	4140
U.S. Virgin Islands	10
Uzbekistan	1089
Venezuela	18268
Vietnam	42216
Yemen	1585
Zambia	239
Zimbabwe	823
