country	count
Afghanistan	878
Åland Islands	4
Albania	3202
Algeria	184604
American Samoa	1
Andorra	23
Angola	166
Argentina	22734
Armenia	3339
Aruba	8
Australia	22847
Austria	13987
Azerbaijan	3248
Bahrain	1202
Bangladesh	85417
Barbados	445
Belarus	8892
Belgium	30646
Belize	27
Benin	866
Bermuda	5
Bhutan	264
Bolivia	2655
Bosnia and Herzegovina	8091
Botswana	942
Brazil	208159
British Virgin Islands	553
Brunei	3531
Bulgaria	9640
Burkina Faso	453
Burundi	19
Cambodia	4088
Cameroon	5292
Canada	282606
Cape Verde	37
Caribbean Netherlands	1
Cayman Islands	1
Chad	4
Chile	32278
China	1101634
Colombia	54534
Costa Rica	1900
Côte d'Ivoire	2154
Croatia	12292
Cuba	14473
Curaçao	5
Cyprus	4236
Czechia	1114
Czech Republic	9301
Democratic Republic of the Congo	93
Denmark	8755
Djibouti	14
Dominica	51
Dominican Republic	1371
Ecuador	67475
Egypt	242704
El Salvador	414
Eritrea	16
Estonia	1242
Ethiopia	28728
Faroe Islands	3
Fiji	702
Finland	4929
France	240400
French Guiana	11
French Polynesia	62
Gabon	59
Georgia	537
Germany	142692
Ghana	5940
Gibraltar	2
Greece	96781
Greenland	1
Grenada	4
Guadeloupe	192
Guam	213
Guatemala	647
Guernsey	1
Guinea	7
Guyana	219
Haiti	10
Honduras	663
Hong Kong	73177
Hungary	16765
Iceland	342
India	3553494
Indonesia	632756
Iran	967555
Iraq	64759
Ireland	10137
Isle of Man	19
Israel	10817
Italy	64812
Jamaica	93
Japan	71548
Jersey	8
Jordan	34368
Kazakhstan	6833
Kenya	3945
Kosovo	403
Kuwait	5975
Kyrgyzstan	61
Laos	376
Latvia	4084
Lebanon	8915
Lesotho	39
Liberia	74
Libya	7664
Liechtenstein	77
Lithuania	7573
Luxembourg	2099
Macau	1208
Macedonia (FYROM)	8176
Madagascar	341
Malawi	186
Malaysia	133982
Maldives	193
Mali	43
Malta	4111
Martinique	25
Mauritania	98
Mauritius	3000
Mayotte	1
Mexico	62903
Moldova	3392
Monaco	21
Mongolia	983
Montenegro	3800
Montserrat	5
Morocco	144118
Mozambique	168
Myanmar (Burma)	20087
N/A	333797
Namibia	486
Nepal	17086
Netherlands	175029
New Caledonia	20
New Zealand	4543
Nicaragua	1254
Niger	45
Nigeria	37818
Northern Mariana Islands	5
North Korea	368
Norway	5209
Oman	4024
Pakistan	257533
Palestine	43
Panama	2509
Papua New Guinea	59
Paraguay	1857
Peru	50661
Philippines	109399
Poland	33965
Portugal	52738
Puerto Rico	804
Qatar	3669
Republic of the Congo	7
Reunion	443
Romania	35313
Russia	287057
Rwanda	1167
Saint Barthélemy	1
Saint-Barthélemy	2
Saint Kitts and Nevis	14
Saint Lucia	4
Saint Vincent and the Grenadines	1
Samoa	3
San Marino	1
Saudi Arabia	25619
Senegal	3540
Serbia	36092
Seychelles	99324
Sierra Leone	5
Singapore	269963
Slovakia	14461
Slovenia	5232
Solomon Islands	6
Somalia	1074
South Africa	7162
South Korea	691458
Spain	65850
Sri Lanka	29753
Sudan	13057
Suriname	354
Swaziland	1
Sweden	14052
Switzerland	38322
Syria	16685
Taiwan	127478
Tajikistan	28
Tanzania	7390
Thailand	22807
The Bahamas	16
The Gambia	15
Timor-Leste	3
Togo	60
Tonga	1
Trinidad and Tobago	814
Tunisia	153526
Turkey	70056
Turkmenistan	1025
Turks and Caicos Islands	1
Uganda	15579
Ukraine	43050
United Arab Emirates	22270
United Kingdom	73517
United States	467097
Uruguay	825
U.S. Virgin Islands	19
Uzbekistan	750
Vanuatu	1
Venezuela	15879
Vietnam	114915
Yemen	7678
Zambia	732
Zimbabwe	2862
