country	count
Afghanistan	377
Åland Islands	5
Albania	6540
Algeria	222518
American Samoa	3
Andorra	460
Angola	150
Antarctica	2
Antigua and Barbuda	76
Argentina	155154
Armenia	6872
Aruba	39
Australia	44120
Austria	61130
Azerbaijan	4458
Bahrain	617
Bangladesh	46469
Barbados	309
Belarus	49139
Belgium	96041
Belize	112
Benin	2126
Bermuda	52
Bhutan	787
Bolivia	7845
Bosnia and Herzegovina	11640
Botswana	800
Brazil	765882
British Virgin Islands	202
Brunei	1666
Bulgaria	23643
Burkina Faso	3969
Burundi	63
Cambodia	2688
Cameroon	11131
Canada	211691
Cape Verde	211
Caribbean Netherlands	19
Cayman Islands	32
Central African Republic	5
Chad	54
Chile	155861
China	2212784
Collectivity of Saint Martin	7
Colombia	223285
Comoros	32
Costa Rica	14735
Côte d'Ivoire	3680
Croatia	49546
Cuba	13972
Curaçao	100
Cyprus	5349
Czechia	2301
Czech Republic	45914
Democratic Republic of the Congo	817
Denmark	12523
Djibouti	146
Dominica	17
Dominican Republic	3232
Ecuador	97921
Egypt	209105
El Salvador	1369
Eritrea	17
Estonia	5513
Ethiopia	11545
Falkland Islands (Islas Malvinas)	28
Faroe Islands	53
Federated States of Micronesia	1
Fiji	351
Finland	18913
France	506750
French Guiana	435
French Polynesia	458
Gabon	596
Georgia	3303
Germany	345994
Ghana	12658
Gibraltar	24
Greece	166142
Greenland	2
Grenada	22
Guadeloupe	1213
Guam	317
Guatemala	5481
Guernsey	24
Guinea	1243
Guinea-Bissau	84
Guyana	495
Haiti	167
Honduras	1932
Hong Kong	89869
Hungary	69853
Iceland	3091
India	1876955
Indonesia	623384
Iran	1070255
Iraq	54865
Ireland	40446
Isle of Man	59
Israel	27958
Italy	297648
Jamaica	1503
Japan	179235
Jersey	25
Jordan	23406
Kazakhstan	15097
Kenya	8698
Kosovo	40
Kuwait	3318
Kyrgyzstan	513
Laos	548
Latvia	14957
Lebanon	10918
Lesotho	64
Liberia	54
Libya	2748
Liechtenstein	100
Lithuania	31253
Luxembourg	6301
Macau	7611
Macedonia (FYROM)	5771
Madagascar	2145
Malawi	519
Malaysia	250730
Maldives	126
Mali	808
Malta	5499
Martinique	648
Mauritania	816
Mauritius	6438
Mayotte	90
Mexico	338785
Moldova	9616
Monaco	115
Mongolia	2207
Montenegro	1844
Montserrat	1
Morocco	185782
Mozambique	550
Myanmar (Burma)	6314
N/A	141316
Namibia	529
Nepal	16080
Netherlands	130094
New Caledonia	935
New Zealand	6760
Nicaragua	1535
Niger	505
Nigeria	37051
Norfolk Island	2
Northern Mariana Islands	10
North Korea	65
Norway	16417
Oman	3706
Pakistan	229316
Palestine	47
Panama	5358
Papua New Guinea	146
Paraguay	2539
Peru	151984
Philippines	131282
Poland	140822
Portugal	228645
Puerto Rico	7292
Qatar	2798
Republic of the Congo	304
Reunion	3468
Romania	84171
Russia	555187
Rwanda	1376
Saint-Barthélemy	5
Saint Kitts and Nevis	31
Saint Lucia	2
Saint Vincent and the Grenadines	93
San Marino	13
São Tomé and Príncipe	8
Saudi Arabia	34361
Senegal	7018
Serbia	40468
Seychelles	367
Sierra Leone	70
Singapore	174036
Sint Maarten	20
Slovakia	34669
Slovenia	26700
Somalia	352
South Africa	27518
South Korea	172676
South Sudan	5
Spain	381992
Sri Lanka	28954
Sudan	9046
Suriname	395
Swaziland	67
Sweden	23430
Switzerland	68577
Syria	15238
Taiwan	169391
Tajikistan	160
Tanzania	9716
Thailand	59885
The Bahamas	53
The Gambia	175
Timor-Leste	4
Togo	821
Tonga	3
Trinidad and Tobago	1392
Tunisia	245219
Turkey	254219
Turkmenistan	201
Turks and Caicos Islands	14
Uganda	3237
Ukraine	114238
United Arab Emirates	12294
United Kingdom	244963
United States	689451
Uruguay	14939
U.S. Virgin Islands	38
Uzbekistan	2928
Vanuatu	3
Venezuela	46666
Vietnam	116115
Yemen	5106
Zambia	633
Zimbabwe	1907
