country	total	00:00	01:00	02:00	03:00	04:00	05:00	06:00	07:00	08:00	09:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00
Afghanistan	11516	0.03734	0.03413	0.04542	0.06035	0.03465	0.02648	0.03282	0.03499	0.03673	0.05028	0.05636	0.05714	0.06747	0.0468	0.05688	0.04463	0.04185	0.04185	0.02831	0.03638	0.03022	0.02049	0.04368	0.03473
Albania	91007	0.04789	0.04334	0.04159	0.04204	0.02613	0.01935	0.01903	0.02092	0.02395	0.03498	0.0405	0.04613	0.05016	0.05258	0.05489	0.04938	0.04897	0.05089	0.04464	0.04739	0.04772	0.04719	0.05086	0.04947
Algeria	1909077	0.03185	0.01696	0.00904	0.00571	0.00492	0.00579	0.00821	0.01407	0.02506	0.04135	0.0579	0.06624	0.05349	0.05145	0.0629	0.06167	0.05159	0.0551	0.06375	0.0644	0.06114	0.06712	0.06727	0.05304
American Samoa	155	0.0	0.0	0.0	0.0	0.00645	0.0	0.0	0.00645	0.10968	0.08387	0.12258	0.07742	0.05806	0.13548	0.07742	0.05161	0.05806	0.02581	0.0	0.09677	0.0129	0.01935	0.05161	0.00645
Andorra	2868	0.03033	0.02545	0.00105	0.00209	0.00139	0.0	0.00279	0.01185	0.07252	0.04637	0.05439	0.06764	0.06241	0.0537	0.04045	0.04707	0.06764	0.07078	0.04742	0.06206	0.06555	0.05753	0.05195	0.05753
Angola	3534	0.04075	0.03084	0.02688	0.01217	0.0034	0.01585	0.01245	0.0249	0.0249	0.04471	0.04499	0.04499	0.0515	0.06423	0.05546	0.05433	0.04527	0.04895	0.05405	0.04782	0.05801	0.0631	0.06621	0.06423
Anguilla	4	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.25	0.0	0.0	0.25
Antigua and Barbuda	712	0.0014	0.00421	0.0014	0.0	0.00281	0.0014	0.01685	0.04354	0.11938	0.0927	0.07725	0.08848	0.05056	0.08708	0.07725	0.0618	0.04494	0.04073	0.02107	0.04354	0.06882	0.04635	0.00562	0.00281
Argentina	1942543	0.02529	0.0143	0.00761	0.00418	0.00297	0.00313	0.00525	0.01112	0.02565	0.04849	0.06843	0.082	0.07319	0.0556	0.06599	0.07709	0.07334	0.06408	0.05883	0.0589	0.05442	0.0438	0.03965	0.03669
Armenia	73568	0.04756	0.03213	0.01858	0.01087	0.00749	0.00632	0.00451	0.00695	0.01077	0.0327	0.04783	0.06153	0.06745	0.0636	0.06877	0.07975	0.07253	0.0581	0.04673	0.0442	0.04502	0.05148	0.05788	0.05724
Aruba	608	0.01645	0.00164	0.00329	0.0	0.00493	0.00658	0.00329	0.00658	0.03125	0.0477	0.08388	0.08553	0.06414	0.0625	0.09868	0.08882	0.07237	0.03289	0.04276	0.04605	0.02961	0.04934	0.06908	0.05263
Australia	681829	0.02857	0.02251	0.01784	0.01654	0.01478	0.0152	0.01716	0.01763	0.02723	0.04532	0.05926	0.06639	0.06035	0.05995	0.06657	0.06964	0.06507	0.05459	0.04578	0.04364	0.04801	0.05069	0.04839	0.0389
