lat	lng	count
-54.8	-68.3	1197
-53.8	-67.7	782
-53.3	-70.4	25
-53.2	-70.9	4847
-51.7	-72.5	4
-51.7	-57.9	193
-51.6	-69.2	1104
-50.2	-72.6	12
-50.0	-68.9	100
-49.8	-68.6	23
-49.6	-72.1	220
-47.3	-68.4	7
-46.9	-70.8	189
-46.8	-68.0	313
-46.5	-74.2	650
-46.4	-67.5	216
-46.4	168.4	350
-46.1	168.9	1
-45.9	-67.5	1244
-45.9	170.3	41
-45.9	170.4	2
-45.9	170.5	2870
-45.8	-67.8	27
-45.8	170.6	1
-45.7	-67.8	545
-45.6	-72.1	1549
-45.6	-69.1	1
-45.4	-67.7	350
-45.4	167.7	140
-45.2	169.4	9
-45.0	168.7	110
-45.0	169.2	7
-44.9	168.8	12
-44.8	-72.7	35
-44.8	168.7	13
-44.7	169.1	12
-44.4	171.3	90
-44.2	171.3	2
-44.1	-70.5	262
-44.1	170.8	66
-43.9	171.7	8
-43.9	172.0	18
-43.8	171.4	1
-43.8	173.0	3
-43.7	171.8	2
-43.6	172.3	3
-43.6	172.4	35
-43.6	172.5	44
-43.6	172.7	4
-43.5	172.6	8488
-43.3	-65.5	417
-43.3	-65.0	235
-43.3	172.6	49
-43.2	-65.3	471
-43.2	147.2	8
-43.1	-73.6	38
-43.0	147.3	102
-42.9	-71.3	194
-42.9	147.2	27
-42.9	147.3	17064
-42.9	147.5	30
-42.8	-65.0	1406
-42.8	147.2	4
-42.8	147.3	107
-42.8	147.4	2
-42.7	173.0	4
-42.6	-73.8	27
-42.6	-64.3	11
-42.6	171.2	773
-42.6	171.8	11
-42.5	-73.8	1587
-42.4	-73.7	31
-42.2	172.8	5
-42.1	173.3	3
-42.0	-71.5	63
-41.9	-73.8	556
-41.8	-73.1	1165
-41.8	172.3	69
-41.5	-72.9	17867
-41.5	146.4	1
-41.5	147.1	1929
-41.5	147.2	18
-41.5	173.9	19
-41.5	174.0	56
-41.4	146.1	90
-41.4	146.2	7
-41.4	147.0	22
-41.4	147.1	260
-41.4	173.1	10
-41.4	174.0	4
-41.3	-73.0	9020
-41.3	146.1	24
-41.3	148.2	101
-41.3	173.2	1
-41.3	173.3	716
-41.3	174.0	1
-41.3	174.8	8023
-41.2	146.2	2
-41.2	146.3	2
-41.2	174.9	1490
-41.1	-73.0	40
-41.1	-71.3	942
-41.1	145.9	332
-41.1	146.1	2
-41.1	146.8	24
-41.1	174.8	167
-41.1	174.9	813
-41.1	175.1	2
-41.0	-72.9	244
-41.0	-69.3	1182
-41.0	-65.4	38
-41.0	173.9	5813
-41.0	175.7	17
-40.9	-73.2	803
-40.9	173.9	8908
-40.9	175.0	181
-40.9	175.1	1
-40.8	-73.2	17
-40.8	-71.7	131
-40.8	-71.6	11
-40.8	-63.8	227
-40.8	175.2	10
-40.7	-66.2	3
-40.6	-73.1	7886
-40.6	175.2	24
-40.4	175.6	3016
-40.3	-73.1	3358
-40.3	175.5	6
-40.3	175.8	6
-40.2	-71.4	885
-40.2	175.6	133
-40.2	176.1	80
-40.1	-72.9	963
-40.1	-63.0	4
-40.1	175.4	2
-39.9	-72.8	82
-39.9	175.0	555
-39.8	-73.2	69006
-39.8	-71.3	28
-39.7	-73.0	6
-39.7	176.9	4
-39.6	-72.3	113
-39.6	176.8	512
-39.5	-72.8	209
-39.5	-66.0	249
-39.5	176.9	516
-39.4	-72.6	20
-39.3	-72.2	385
-39.3	-72.0	40
-39.2	-70.9	71
-39.2	174.2	14
-39.1	174.1	396
-39.0	-72.6	162
-39.0	-68.1	9305
-39.0	-67.6	4578
-39.0	-67.5	5
-39.0	-62.6	4
-39.0	175.8	4
-39.0	176.1	101
-38.9	-69.2	389
-38.9	-62.1	417
-38.8	-72.6	134
-38.8	-68.7	60
-38.8	-68.1	6
-38.7	-72.9	50
-38.7	-72.6	51638
-38.7	-63.8	3
-38.7	-62.3	31846
-38.7	-61.3	16
-38.7	-59.8	9
-38.7	146.4	214
-38.7	176.1	35
-38.7	178.0	419
-38.6	-58.7	588
-38.6	145.7	228
-38.5	-72.5	401
-38.5	-70.3	550
-38.5	-61.9	13
-38.5	145.2	1
-38.5	145.4	14
-38.5	145.9	31
-38.5	146.7	3
-38.4	-72.8	1399
-38.4	-72.4	146
-38.4	-71.9	218
-38.4	-60.3	535
-38.4	142.5	195
-38.4	142.6	8
-38.4	145.1	6
-38.4	145.2	4
-38.4	146.3	14
-38.4	146.6	60
-38.3	-72.7	67
-38.3	-59.6	5
-38.3	-58.0	18
-38.3	-57.9	484
-38.3	141.5	1
-38.3	141.9	2
-38.3	143.6	1057
-38.3	144.7	28
-38.3	145.0	7
-38.3	146.0	9
-38.3	146.4	94
-38.2	-72.4	107
-38.2	-58.8	45
-38.2	-58.1	2
-38.2	143.0	2
-38.2	144.3	172
-38.2	144.4	44
-38.2	144.5	15
-38.2	144.7	2
-38.2	145.0	6
-38.2	145.1	270
-38.2	145.2	84
-38.2	145.8	2
-38.2	145.9	15
-38.2	175.9	19
-38.1	-62.2	209
-38.1	144.3	1880
-38.1	144.4	106
-38.1	145.1	915
-38.1	145.2	184
-38.1	145.3	397
-38.1	145.4	27
-38.1	145.5	270
-38.1	145.6	2
-38.1	145.7	1
-38.1	145.9	2
-38.1	146.6	1
-38.1	147.1	32
-38.1	176.2	639
-38.1	176.4	2
-38.0	-72.4	56
-38.0	-61.3	103
-38.0	-57.5	22279
-38.0	142.7	87
-38.0	144.4	2
-38.0	145.0	185
-38.0	145.1	896
-38.0	145.2	788
-38.0	145.3	815
-38.0	145.4	12
-38.0	145.8	2
-38.0	146.8	3
-38.0	175.3	10
-38.0	176.9	43
-37.9	-58.3	109
-37.9	-57.8	173
-37.9	141.9	106
-37.9	144.0	4
-37.9	144.2	14
-37.9	144.7	1358
-37.9	144.8	378
-37.9	144.9	1193
-37.9	145.0	18508
-37.9	145.1	16617
-37.9	145.2	2811
-37.9	145.3	263
-37.9	145.4	43
-37.9	145.7	7
-37.9	146.2	5
-37.9	146.7	1
-37.9	147.9	2
-37.9	175.2	7
-37.9	175.5	340
-37.9	176.9	62
-37.8	-73.4	1
-37.8	-72.7	605
-37.8	-67.7	212
-37.8	-64.0	94
-37.8	-62.4	209
-37.8	-58.3	1506
-37.8	140.8	5
-37.8	144.6	5
