lat	lng	count
-55.0	-68.5	12
-54.0	-67.5	4
-53.0	-71.0	83
-51.5	-69.0	13
-50.0	-69.0	8
-47.0	-68.0	12
-46.5	-74.0	10
-46.5	168.5	6
-46.0	-68.0	3
-46.0	-67.5	14
-46.0	170.5	49
-45.5	-72.0	7
-45.5	-68.0	3
-45.5	-67.5	5
-45.5	167.5	4
-45.0	168.5	11
-45.0	169.0	1
-44.5	171.5	5
-44.0	-70.5	1
-44.0	171.0	1
-44.0	172.0	4
-43.5	-65.5	5
-43.5	-65.0	2
-43.5	172.5	299
-43.0	-71.5	1
-43.0	-65.5	20
-43.0	-65.0	24
-43.0	147.0	2
-43.0	147.5	495
-42.5	-74.0	5
-42.5	-64.5	1
-42.0	-74.0	3
-42.0	-73.0	6
-41.5	-73.0	167
-41.5	146.0	15
-41.5	146.5	1
-41.5	147.0	62
-41.5	148.0	11
-41.5	173.0	1
-41.5	173.5	60
-41.5	174.0	6
-41.5	175.0	285
-41.0	-73.0	6
-41.0	-71.5	50
-41.0	-69.5	11
-41.0	-64.0	21
-41.0	146.0	2
-41.0	174.0	538
-41.0	175.0	86
-40.5	-73.0	190
-40.5	175.5	81
-40.0	-73.0	786
-40.0	-71.5	29
-40.0	175.0	34
-40.0	175.5	11
-39.5	-72.5	6
-39.5	-72.0	1
-39.5	-66.0	17
-39.5	177.0	17
-39.0	-72.5	4
-39.0	-69.0	3
-39.0	-68.0	175
-39.0	-67.5	78
-39.0	-62.0	13
-39.0	174.0	29
-38.5	-73.0	26
-38.5	-72.5	786
-38.5	-72.0	1
-38.5	-70.5	2
-38.5	-62.5	1357
-38.5	-60.5	23
-38.5	-58.5	23
-38.5	-58.0	87
-38.5	142.5	2
-38.5	143.5	46
-38.5	145.5	1
-38.5	146.5	21
-38.5	178.0	11
-38.0	-72.5	15
-38.0	-64.0	4
-38.0	-62.5	6
-38.0	-62.0	11
-38.0	-59.0	2
-38.0	-58.5	36
-38.0	-58.0	11
-38.0	-57.5	693
-38.0	144.5	99
-38.0	145.0	7247
-38.0	145.5	88
-38.0	175.0	1
-38.0	175.5	205
-38.0	176.0	22
-38.0	176.5	1
-37.5	-73.5	23
-37.5	-72.5	116
-37.5	-72.0	13
-37.5	-63.0	1
-37.5	-60.0	1
-37.5	-59.0	61
-37.5	-57.0	2
-37.5	142.5	7
-37.5	143.5	2
-37.5	144.0	25
-37.5	144.5	90
-37.5	145.0	348
-37.5	176.0	27
-37.5	176.5	3
-37.0	-73.5	2
-37.0	-73.0	2653
-37.0	-72.5	6
-37.0	-63.0	1
-37.0	-60.5	14
-37.0	-60.0	31
-37.0	-58.5	1
-37.0	-57.0	5
-37.0	146.0	6
-37.0	175.0	5586
-36.5	-73.0	182
-36.5	-72.0	103
-36.5	-64.5	129
-36.5	-56.5	1
-36.5	143.5	1
-36.5	145.5	3
-36.5	150.0	2
-36.5	174.5	1
-36.0	-72.0	18
-36.0	-71.5	2
-36.0	-60.0	2
-36.0	174.0	4
-35.5	-72.5	5
-35.5	-71.5	862
-35.5	-64.5	1
-35.5	-64.0	7
-35.5	-62.5	59
-35.5	-61.5	2
-35.5	-60.0	7
-35.5	-58.5	1
-35.5	-58.0	38
-35.5	139.0	1
-35.5	142.5	42
-35.5	148.0	3
-35.5	149.0	275
-35.5	150.5	91
-35.5	174.0	1
-35.5	174.5	58
-35.0	-71.5	146
-35.0	-64.5	20
-35.0	-63.5	137
-35.0	-61.5	10
-35.0	-60.5	8
-35.0	-60.0	7
-35.0	-59.0	11
-35.0	-58.5	636
-35.0	-58.0	2090
-35.0	-56.0	8028
-35.0	-55.5	4
-35.0	-55.0	5
-35.0	138.5	856
-35.0	139.0	7
-35.0	147.5	4
-35.0	149.0	261
-35.0	150.0	4
-34.5	-71.5	13
-34.5	-71.0	6
-34.5	-68.5	22
-34.5	-61.0	8
-34.5	-60.0	47
-34.5	-59.5	11
-34.5	-59.0	354
-34.5	-58.5	30880
-34.5	-58.0	1
-34.5	-56.5	5
-34.5	-56.0	20
-34.5	138.5	3
-34.5	140.5	2
-34.5	150.0	26
-34.5	151.0	227
-34.0	-70.5	322
-34.0	-65.5	8
-34.0	-63.5	28
-34.0	-62.0	1
-34.0	-61.0	23
-34.0	-60.5	30
-34.0	-60.0	1
-34.0	-59.5	2
-34.0	-59.0	95
-34.0	18.5	2316
-34.0	19.0	432
-34.0	22.5	42
-34.0	23.0	2
-34.0	23.5	3
-34.0	25.5	120
-34.0	140.5	773
-34.0	150.5	14
-34.0	151.0	17723
-34.0	151.5	96
-33.5	-71.5	51
-33.5	-71.0	58
-33.5	-70.5	34575
-33.5	-69.0	12
-33.5	-66.5	1074
-33.5	-63.5	28
-33.5	-62.5	1
-33.5	-62.0	7
-33.5	-60.0	59
-33.5	-59.5	13
-33.5	-58.0	4
-33.5	-53.5	9
-33.5	19.5	2
-33.5	25.5	389
-33.5	26.5	55
-33.5	115.5	1
-33.5	149.5	1
-33.5	150.5	93
-33.5	151.0	4821
-33.5	151.5	53
-33.0	-71.5	3149
-33.0	-71.0	155
-33.0	-70.5	91
-33.0	-69.0	494
-33.0	-68.5	402
-33.0	-64.5	800
-33.0	-63.0	2
-33.0	-62.5	1
-33.0	-61.5	16
-33.0	-61.0	27
-33.0	-60.5	3173
-33.0	-58.5	14
-33.0	24.5	27
-33.0	28.0	7
-33.0	134.0	38
-33.0	135.5	1
-33.0	149.0	1
-33.0	151.5	110
-33.0	152.0	4
-32.5	-70.5	11
-32.5	-67.5	3
-32.5	-64.5	11
-32.5	-63.5	69
-32.5	-63.0	3
-32.5	-62.0	3
-32.5	-61.0	1
-32.5	-60.5	13
-32.5	-60.0	2
-32.5	-58.0	7
-32.5	-53.5	6
-32.5	-52.5	2
-32.5	115.5	185
-32.5	116.0	5
-32.5	149.5	10
-32.5	150.5	1
-32.5	151.5	1
-32.5	152.5	1
-32.0	-64.5	3
-32.0	-63.5	7
-32.0	-62.5	9
-32.0	-61.5	25
