lat	lng	count
-55.0	-68.5	321
-54.0	-67.5	189
-53.5	-70.5	17
-53.0	-71.0	1818
-51.5	-72.5	2
-51.5	-69.0	306
-51.5	-58.0	65
-50.0	-72.5	6
-50.0	-69.0	51
-50.0	-68.5	16
-49.5	-72.0	70
-47.5	-68.5	6
-47.0	-71.0	18
-47.0	-68.0	206
-46.5	-74.0	243
-46.5	-67.5	84
-46.5	168.5	93
-46.0	-68.0	9
-46.0	-67.5	361
-46.0	170.5	629
-45.5	-72.0	630
-45.5	-68.0	277
-45.5	-67.5	155
-45.5	167.5	51
-45.0	-72.5	10
-45.0	168.5	35
-45.0	169.0	4
-44.5	169.0	1
-44.5	171.5	22
-44.0	-70.5	125
-44.0	171.0	23
-44.0	171.5	2
-44.0	172.0	2
-43.5	-65.5	115
-43.5	-65.0	66
-43.5	172.5	2165
-43.0	-73.5	9
-43.0	-71.5	53
-43.0	-65.5	192
-43.0	-65.0	432
-43.0	147.0	10
-43.0	147.5	7335
-42.5	-74.0	709
-42.5	-73.5	20
-42.5	-64.5	2
-42.5	171.0	154
-42.5	172.0	2
-42.5	173.0	1
-42.0	-74.0	260
-42.0	-73.0	439
-42.0	-71.5	9
-42.0	172.5	10
-41.5	-73.0	10257
-41.5	146.0	22
-41.5	147.0	739
-41.5	148.0	69
-41.5	173.0	3
-41.5	173.5	212
-41.5	174.0	21
-41.5	175.0	2099
-41.0	-73.0	707
-41.0	-71.5	318
-41.0	-69.5	277
-41.0	-65.5	4
-41.0	-64.0	74
-41.0	146.0	116
-41.0	174.0	4024
-41.0	175.0	768
-41.0	175.5	7
-40.5	-73.0	4495
-40.5	-66.0	2
-40.5	175.0	6
-40.5	175.5	901
-40.5	176.0	1
-40.0	-73.0	25680
-40.0	-71.5	377
-40.0	-63.0	3
-40.0	175.0	125
-40.0	175.5	34
-40.0	176.0	20
-39.5	-73.0	72
-39.5	-72.5	73
-39.5	-72.0	202
-39.5	-66.0	113
-39.5	177.0	226
-39.0	-72.5	115
-39.0	-71.0	11
-39.0	-69.0	189
-39.0	-68.5	18
-39.0	-68.0	2889
-39.0	-67.5	1757
-39.0	-62.5	3
-39.0	-62.0	231
-39.0	174.0	109
-39.0	176.0	12
-38.5	-73.0	459
-38.5	-72.5	20098
-38.5	-72.0	71
-38.5	-70.5	246
-38.5	-64.0	1
-38.5	-62.5	10847
-38.5	-62.0	7
-38.5	-60.5	133
-38.5	-59.5	2
-38.5	-58.5	163
-38.5	-58.0	119
-38.5	142.5	64
-38.5	143.5	204
-38.5	144.5	11
-38.5	145.0	6
-38.5	145.5	2
-38.5	146.0	5
-38.5	146.5	184
-38.5	176.0	7
-38.5	178.0	68
-38.0	-72.5	282
-38.0	-67.5	136
-38.0	-64.0	34
-38.0	-62.5	77
-38.0	-62.0	56
-38.0	-61.5	42
-38.0	-59.0	15
-38.0	-58.5	678
-38.0	-58.0	109
-38.0	-57.5	7495
-38.0	142.0	23
-38.0	142.5	37
-38.0	143.0	1
-38.0	144.0	11
-38.0	144.5	974
-38.0	145.0	45356
-38.0	145.5	1008
-38.0	146.0	9
-38.0	147.0	11
-38.0	147.5	19
-38.0	175.0	10
-38.0	175.5	1668
-38.0	176.0	138
-38.0	176.5	1
-38.0	177.0	22
-37.5	-73.5	323
-37.5	-72.5	3399
-37.5	-72.0	1151
-37.5	-65.0	10
-37.5	-63.5	6
-37.5	-63.0	11
-37.5	-62.0	1
-37.5	-60.0	75
-37.5	-59.0	1293
-37.5	-57.5	1
-37.5	-57.0	33
-37.5	141.0	2
-37.5	142.0	1
-37.5	142.5	71
-37.5	143.5	3
