lat	lng	count
-55.0	-68.5	1193
-54.0	-67.5	753
-53.5	-70.5	25
-53.0	-71.0	4723
-51.5	-72.5	4
-51.5	-69.0	1058
-51.5	-58.0	193
-50.0	-72.5	12
-50.0	-69.0	100
-50.0	-68.5	23
-49.5	-72.0	220
-47.5	-68.5	7
-47.0	-71.0	188
-47.0	-68.0	309
-46.5	-74.0	649
-46.5	-67.5	203
-46.5	168.5	285
-46.0	-68.0	26
-46.0	-67.5	1185
-46.0	169.0	1
-46.0	170.5	2868
-45.5	-72.0	1531
-45.5	-69.0	1
-45.5	-68.0	526
-45.5	-67.5	347
-45.5	167.5	138
-45.0	-72.5	35
-45.0	168.5	122
-45.0	169.0	19
-45.0	169.5	9
-44.5	169.0	12
-44.5	171.5	87
-44.0	-70.5	259
-44.0	171.0	66
-44.0	171.5	11
-44.0	172.0	18
-44.0	173.0	3
-43.5	-65.5	414
-43.5	-65.0	232
-43.5	172.0	2
-43.5	172.5	8234
-43.0	-73.5	38
-43.0	-71.5	194
-43.0	-65.5	468
-43.0	-65.0	1383
-43.0	147.0	39
-43.0	147.5	17099
-42.5	-74.0	1541
-42.5	-73.5	30
-42.5	-64.5	11
-42.5	171.0	772
-42.5	172.0	11
-42.5	173.0	4
-42.0	-74.0	556
-42.0	-73.0	1165
-42.0	-71.5	63
-42.0	172.5	69
-42.0	173.0	5
-42.0	173.5	3
-41.5	-73.0	26705
-41.5	146.0	120
-41.5	146.5	1
-41.5	147.0	2198
-41.5	148.0	101
-41.5	173.0	11
-41.5	173.5	715
-41.5	174.0	80
-41.5	175.0	7819
-41.0	-73.0	1099
-41.0	-71.5	1080
-41.0	-69.5	1089
-41.0	-65.5	38
-41.0	-64.0	226
-41.0	146.0	335
-41.0	146.5	2
-41.0	147.0	15
-41.0	174.0	14191
-41.0	175.0	2564
-41.0	175.5	17
-40.5	-73.0	11159
-40.5	-66.0	3
-40.5	175.0	24
-40.5	175.5	2923
-40.5	176.0	6
-40.0	-73.0	69469
-40.0	-71.5	909
-40.0	-63.0	4
-40.0	175.0	462
-40.0	175.5	135
-40.0	176.0	80
-39.5	-73.0	214
-39.5	-72.5	131
-39.5	-72.0	425
-39.5	-66.0	249
-39.5	177.0	904
-39.0	-72.5	294
-39.0	-71.0	71
-39.0	-69.0	388
-39.0	-68.5	60
-39.0	-68.0	9202
-39.0	-67.5	4564
-39.0	-62.5	4
-39.0	-62.0	417
-39.0	174.0	372
-39.0	176.0	105
-38.5	-73.0	1445
-38.5	-72.5	51535
-38.5	-72.0	216
-38.5	-70.5	549
-38.5	-64.0	3
-38.5	-62.5	30837
-38.5	-62.0	13
-38.5	-61.5	16
-38.5	-60.5	527
-38.5	-60.0	9
-38.5	-59.5	5
-38.5	-58.5	580
-38.5	-58.0	502
-38.5	141.5	1
-38.5	142.0	1
-38.5	142.5	201
-38.5	143.5	1057
-38.5	144.5	27
-38.5	145.0	18
-38.5	145.5	242
-38.5	146.0	40
-38.5	146.5	383
-38.5	176.0	34
-38.5	178.0	412
-38.0	-73.5	1
-38.0	-72.5	749
-38.0	-67.5	211
-38.0	-64.0	94
-38.0	-62.5	200
-38.0	-62.0	205
-38.0	-61.5	103
-38.0	-59.0	45
-38.0	-58.5	1615
-38.0	-58.0	175
-38.0	-57.5	22046
-38.0	141.0	5
-38.0	142.0	100
-38.0	142.5	87
-38.0	143.0	2
-38.0	144.0	18
-38.0	144.5	3496
-38.0	145.0	148328
-38.0	145.5	3515
-38.0	146.0	26
-38.0	146.5	2
-38.0	147.0	35
-38.0	147.5	59
-38.0	148.0	2
-38.0	175.0	36
-38.0	175.5	6339
-38.0	176.0	679
-38.0	176.5	4
-38.0	177.0	105
-37.5	-73.5	917
-37.5	-72.5	8612
-37.5	-72.0	3168
-37.5	-67.5	9
-37.5	-65.0	34
-37.5	-63.5	8
-37.5	-63.0	24
-37.5	-62.0	11
-37.5	-60.0	265
-37.5	-59.0	3813
-37.5	-57.5	3
-37.5	-57.0	106
-37.5	141.0	14
-37.5	142.0	1
-37.5	142.5	145
-37.5	143.5	20
-37.5	144.0	630
-37.5	144.5	1813
-37.5	145.0	8914
-37.5	145.5	8
-37.5	146.0	7
-37.5	147.5	34
-37.5	148.0	35
-37.5	175.0	31
-37.5	175.5	216
-37.5	176.0	1357
-37.5	176.5	320
-37.0	-73.5	359
-37.0	-73.0	132407
-37.0	-72.5	469
-37.0	-72.0	153
-37.0	-64.0	4
-37.0	-63.0	118
-37.0	-61.5	4
-37.0	-60.5	827
-37.0	-60.0	2156
-37.0	-58.5	129
-37.0	-58.0	12
-37.0	-57.0	404
-37.0	140.0	4
-37.0	143.5	1
-37.0	144.0	13
-37.0	144.5	273
-37.0	145.5	1
-37.0	146.0	21
-37.0	147.0	3
-37.0	149.5	3
-37.0	175.0	74061
-37.0	175.5	2
-36.5	-73.0	9448
-36.5	-72.5	70
-36.5	-72.0	11104
-36.5	-65.5	2
-36.5	-64.5	5408
-36.5	-63.5	18
-36.5	-63.0	1
-36.5	-62.5	1
-36.5	-61.5	19
-36.5	-57.5	293
-36.5	-56.5	259
-36.5	143.5	254
-36.5	144.5	6
-36.5	145.0	1
-36.5	145.5	116
-36.5	146.0	6
-36.5	146.5	7
-36.5	150.0	61
-36.5	174.5	65
-36.5	175.0	8
-36.0	-73.0	58
-36.0	-72.5	153
-36.0	-72.0	363
-36.0	-71.5	2022
-36.0	-64.5	2
-36.0	-63.5	4
-36.0	-62.5	121
-36.0	-62.0	16
-36.0	-61.5	13
-36.0	-61.0	88
-36.0	-60.0	17
-36.0	-58.5	1
-36.0	-58.0	13
-36.0	147.0	86
-36.0	150.0	1
-36.0	174.0	82
-36.0	174.5	3
-35.5	-72.5	418
-35.5	-71.5	40532
-35.5	-69.5	91
-35.5	-64.5	193
-35.5	-64.0	384
-35.5	-63.0	4
-35.5	-62.5	3806
-35.5	-61.5	103
-35.5	-61.0	95
-35.5	-60.0	248
-35.5	-59.5	23
-35.5	-58.5	72
-35.5	-58.0	1227
-35.5	-57.5	15
-35.5	138.5	37
-35.5	139.0	6
-35.5	142.5	1697
-35.5	145.5	20
-35.5	146.5	3
-35.5	148.0	39
-35.5	149.0	11507
-35.5	149.5	10
-35.5	150.5	747
-35.5	173.0	20
-35.5	174.0	38
-35.5	174.5	784
-35.0	-72.0	105
-35.0	-71.5	7185
-35.0	-67.5	58
-35.0	-64.5	222
-35.0	-64.0	25
-35.0	-63.5	1585
-35.0	-63.0	3
-35.0	-62.5	356
-35.0	-61.5	163
-35.0	-61.0	14
-35.0	-60.5	290
-35.0	-60.0	1067
-35.0	-59.5	11
-35.0	-59.0	943
-35.0	-58.5	22624
-35.0	-58.0	73818
-35.0	-57.5	64
-35.0	-56.0	185437
-35.0	-55.5	172
-35.0	-55.0	239
-35.0	118.0	113
-35.0	138.5	27355
-35.0	139.0	154
-35.0	139.5	6
-35.0	140.0	5
-35.0	147.5	456
-35.0	149.0	5650
-35.0	150.0	64
-35.0	150.5	74
-35.0	174.0	8
-34.5	-71.5	678
-34.5	-71.0	553
-34.5	-68.5	419
-34.5	-64.5	61
-34.5	-63.5	2
-34.5	-62.5	1
-34.5	-61.5	30
-34.5	-61.0	2165
-34.5	-60.5	38
-34.5	-60.0	268
-34.5	-59.5	518
-34.5	-59.0	16702
-34.5	-58.5	1219482
-34.5	-58.0	4
-34.5	-56.5	235
-34.5	-56.0	583
-34.5	-54.5	7
-34.5	19.5	322
-34.5	138.5	104
-34.5	139.0	22
-34.5	140.5	20
