lat	lng	count
-55.0	-68.5	4
-54.0	-67.5	29
-53.0	-71.0	124
-51.5	-69.0	46
-47.0	-71.0	1
-47.0	-68.0	4
-46.5	-74.0	1
-46.5	-67.5	13
-46.5	168.5	65
-46.0	-68.0	1
-46.0	-67.5	59
-46.0	170.5	46
-45.5	-72.0	18
-45.5	-68.0	19
-45.5	-67.5	3
-45.5	167.5	2
-45.0	168.5	1
-44.5	171.5	3
-44.0	-70.5	3
-43.5	-65.5	3
-43.5	-65.0	3
-43.5	172.5	389
-43.0	-65.5	3
-43.0	-65.0	23
-43.0	147.5	206
-42.5	-74.0	73
-42.5	-73.5	1
-42.5	171.0	1
-41.5	-73.0	182
-41.5	146.0	1
-41.5	147.0	31
-41.5	173.5	1
-41.5	175.0	204
-41.0	-73.0	5
-41.0	-71.5	4
-41.0	-69.5	93
-41.0	-64.0	1
-41.0	146.0	1
-41.0	147.0	9
-41.0	174.0	530
-41.0	175.0	100
-40.5	-73.0	85
-40.5	175.5	99
-40.0	-73.0	582
-40.0	-71.5	4
-40.0	175.0	93
-39.5	-73.0	1
-39.5	-72.5	2
-39.5	177.0	128
-39.0	-72.5	2
-39.0	-69.0	1
-39.0	-68.0	109
-39.0	-67.5	19
-39.0	174.0	38
-38.5	-73.0	4
-38.5	-72.5	717
-38.5	-72.0	2
-38.5	-70.5	1
-38.5	-62.5	1009
-38.5	-60.5	8
-38.5	-58.5	8
-38.5	142.0	1
-38.5	142.5	2
-38.5	144.5	1
-38.5	146.5	2
-38.5	176.0	1
-38.5	178.0	7
-38.0	-72.5	19
-38.0	-67.5	1
-38.0	-62.5	9
-38.0	-62.0	4
-38.0	-57.5	233
-38.0	142.0	6
-38.0	144.5	89
-38.0	145.0	5341
-38.0	145.5	130
-38.0	147.5	1
-38.0	175.5	682
-38.0	176.0	9
-37.5	-73.5	28
-37.5	-72.5	98
-37.5	-72.0	88
-37.5	-63.0	1
-37.5	-60.0	10
-37.5	-59.0	47
-37.5	142.5	3
-37.5	143.5	1
-37.5	144.0	14
-37.5	144.5	65
-37.5	145.0	1291
-37.5	145.5	1
-37.5	146.0	2
-37.5	147.5	2
-37.5	175.0	13
-37.5	175.5	60
-37.5	176.0	19
-37.5	176.5	14
-37.0	-73.5	11
-37.0	-73.0	1479
-37.0	-72.5	2
-37.0	-60.5	50
-37.0	-60.0	12
-37.0	-58.5	2
-37.0	144.5	2
-37.0	146.0	2
-37.0	175.0	2013
-36.5	-73.0	126
-36.5	-72.0	185
-36.5	-64.5	54
-36.5	-61.5	1
-36.5	-56.5	11
-36.5	143.5	13
-36.5	150.0	1
-36.5	174.5	15
-36.0	-72.0	3
-36.0	-71.5	4
-35.5	-72.5	2
-35.5	-71.5	484
-35.5	-69.5	9
-35.5	-64.0	28
-35.5	-62.5	31
-35.5	-60.0	1
-35.5	-59.5	1
-35.5	142.5	634
-35.5	149.0	187
-35.5	150.5	24
-35.5	174.5	10
-35.0	-71.5	238
-35.0	-64.5	1
-35.0	-63.5	165
-35.0	-62.5	1
-35.0	-61.5	51
-35.0	-60.5	4
-35.0	-60.0	5
-35.0	-59.0	9
-35.0	-58.5	365
-35.0	-58.0	604
-35.0	-56.0	822
-35.0	118.0	7
-35.0	138.5	1522
-35.0	139.0	37
-35.0	147.5	1
-35.0	149.0	338
-34.5	-71.5	21
-34.5	-71.0	2
-34.5	-68.5	9
-34.5	-61.0	29
-34.5	-60.0	10
-34.5	-59.5	7
-34.5	-59.0	105
-34.5	-58.5	12770
-34.5	-56.0	1
-34.5	19.5	4
-34.5	138.5	1
-34.5	150.0	3
-34.5	151.0	241
-34.0	-70.5	296
-34.0	-65.5	72
-34.0	-63.5	1
-34.0	-62.0	2
-34.0	-61.0	3
-34.0	-60.5	20
-34.0	-59.5	2
-34.0	-59.0	96
-34.0	-56.0	2
-34.0	18.5	1350
-34.0	19.0	326
-34.0	22.5	1
-34.0	23.0	1
-34.0	23.5	3
-34.0	25.5	13
-34.0	140.5	69
-34.0	146.0	10
-34.0	150.5	79
-34.0	151.0	4174
-34.0	151.5	51
-33.5	-71.5	47
-33.5	-71.0	20
-33.5	-70.5	19742
-33.5	-66.5	384
-33.5	-65.5	1
-33.5	-62.0	32
-33.5	-60.0	36
-33.5	-53.5	10
-33.5	19.0	155
-33.5	20.0	5
-33.5	25.5	122
-33.5	26.5	264
-33.5	150.5	6
-33.5	151.0	318
-33.5	151.5	46
-33.0	-71.5	5456
-33.0	-71.0	167
-33.0	-70.5	112
-33.0	-69.0	204
-33.0	-68.5	289
-33.0	-64.5	90
-33.0	-63.5	3
-33.0	-62.5	8
-33.0	-61.5	4
-33.0	-61.0	1
-33.0	-60.5	784
-33.0	-58.5	2
-33.0	18.0	1
-33.0	24.5	2
-33.0	28.0	124
-33.0	134.0	8
-33.0	134.5	1
-33.0	135.5	15
-33.0	151.5	107
-33.0	152.0	8
-32.5	-70.5	43
-32.5	-67.5	1
-32.5	-64.5	1
-32.5	-63.5	142
-32.5	-62.0	5
-32.5	-60.5	6
-32.5	-58.0	1
-32.5	-53.5	4
-32.5	-52.5	30
-32.5	115.5	1
-32.5	116.0	11
-32.5	149.5	20
-32.5	151.5	2
-32.0	-71.5	4
-32.0	-64.5	14
-32.0	-61.0	20
-32.0	-60.5	1
-32.0	-53.0	2
-32.0	-52.5	2433
-32.0	-52.0	705
-32.0	-51.5	10
-32.0	115.5	13
-32.0	116.0	941
-32.0	146.5	5
-32.0	150.0	2
-32.0	152.5	2
-31.5	-68.5	94
-31.5	-64.5	70
-31.5	-64.0	1532
-31.5	-63.0	12
-31.5	-62.5	1
-31.5	-62.0	19
-31.5	-61.5	19
-31.5	-61.0	13
-31.5	-60.5	562
-31.5	-58.0	35
-31.5	-54.0	88
-31.5	-53.5	13
-31.5	-53.0	7
-31.5	-52.5	44
-31.5	-52.0	5
-31.5	116.0	31
-31.0	-64.5	4
-31.0	-64.0	1
-31.0	-63.5	1
-31.0	-61.5	25
-31.0	-60.0	2
-31.0	-59.0	258
-31.0	-58.0	1
-31.0	-55.5	10
-31.0	-54.5	1
-31.0	-53.0	1
-31.0	-52.0	4
-31.0	22.0	5
-31.0	148.0	1
-31.0	151.5	2
-30.5	-71.0	5
-30.5	-66.5	2
-30.5	-61.0	3
-30.5	-60.0	13
-30.5	-54.5	15
-30.5	-53.5	35
-30.5	-51.5	28
-30.5	151.0	3
-30.5	153.0	1
-30.0	-71.5	392
-30.0	-62.0	2
-30.0	-57.0	11
-30.0	-56.0	176
-30.0	-53.5	16
-30.0	-53.0	49
-30.0	-52.5	8
-30.0	-51.5	12
-30.0	-51.0	6381
-30.0	-50.5	11
-30.0	-50.0	9
-30.0	31.0	722
-30.0	152.0	8
-29.5	-67.0	9
-29.5	-57.0	1
-29.5	-55.5	196
-29.5	-55.0	1
-29.5	-54.5	7
-29.5	-54.0	2427
-29.5	-53.5	1
-29.5	-53.0	1
-29.5	-52.5	477
-29.5	-52.0	97
-29.5	-51.5	53
-29.5	-51.0	630
-29.5	-50.5	1
-29.5	-50.0	1
-29.5	-49.5	17
-29.5	27.5	13
-29.5	30.0	3
-29.5	30.5	112
-29.5	31.0	2
-29.0	-59.5	14
-29.0	-56.5	4
-29.0	-56.0	2
-29.0	-55.0	82
-29.0	-54.0	48
-29.0	-53.5	5
-29.0	-53.0	2
-29.0	-52.5	21
-29.0	-52.0	10
-29.0	-51.5	123
-29.0	-51.0	423
-29.0	-50.0	1
-29.0	-49.5	103
-29.0	25.0	3
-29.0	26.0	106
-29.0	28.0	3
-29.0	32.0	30
-29.0	114.5	27
-29.0	153.5	1
-28.5	-71.0	3
-28.5	-66.0	4
-28.5	-59.5	2
-28.5	-56.0	42
-28.5	-55.0	134
-28.5	-54.5	143
-28.5	-54.0	901
-28.5	-53.5	97
-28.5	-53.0	54
-28.5	-52.5	415
-28.5	-52.0	76
-28.5	-51.0	13
-28.5	-49.5	184
-28.5	-49.0	108
-28.5	23.0	1
-28.5	24.5	1173
-28.5	30.0	13
-28.5	153.0	19
-28.0	-64.5	249
-28.0	-63.5	1
-28.0	-56.0	8
-28.0	-55.0	12
-28.0	-54.5	255
-28.0	-54.0	120
-28.0	-53.5	10
-28.0	-53.0	42
-28.0	-52.5	15
-28.0	-52.0	33
-28.0	-51.5	3
-28.0	-50.5	71
-28.0	-49.0	5
-28.0	-48.5	10
-28.0	32.5	7
-28.0	151.0	1
-28.0	153.0	1
-28.0	153.5	96
-27.5	-70.5	42
-27.5	-64.0	16
-27.5	-59.0	830
-27.5	-56.0	76
-27.5	-55.0	152
-27.5	-54.5	101
-27.5	-54.0	17
-27.5	-53.5	297
-27.5	-53.0	9
-27.5	-52.5	314
-27.5	-52.0	2
-27.5	-51.0	9
-27.5	-50.5	6
-27.5	-49.5	2
-27.5	-49.0	15
-27.5	-48.5	5172
-27.5	152.0	56
-27.5	152.5	1
-27.5	153.0	1876
-27.5	153.5	16
-27.0	-65.0	153
-27.0	-53.5	38
-27.0	-53.0	358
-27.0	-52.5	40
-27.0	-52.0	29
-27.0	-51.5	25
-27.0	-51.0	205
-27.0	-50.0	4
-27.0	-49.5	84
-27.0	-49.0	462
-27.0	-48.5	580
-27.0	26.5	3
-27.0	132.5	64
-27.0	133.0	1
-27.0	151.5	4
-27.0	152.5	195
-27.0	153.0	57
-26.5	-54.0	1
-26.5	-53.5	12
-26.5	-52.5	42
-26.5	-52.0	25
-26.5	-49.5	73
-26.5	-49.0	2342
-26.5	-48.5	12
-26.5	18.0	1
-26.5	27.0	22
-26.5	28.0	17
-26.5	28.5	3
-26.5	30.0	2
-26.5	31.0	1
-26.5	153.0	53
-26.0	-58.0	1
-26.0	-53.5	33
-26.0	-53.0	107
-26.0	-52.5	255
-26.0	-51.0	25
-26.0	-50.5	4
-26.0	-50.0	46
-26.0	-49.5	4
-26.0	-48.5	23
-26.0	25.5	4
-26.0	28.0	1508
-26.0	28.5	3
-26.0	29.5	19
-26.0	32.5	83
-25.5	-57.5	1458
-25.5	-54.5	613
-25.5	-54.0	14
-25.5	-53.0	8
-25.5	-52.5	37
-25.5	-52.0	7
-25.5	-51.5	172
-25.5	-51.0	6
-25.5	-50.5	6
-25.5	-50.0	2
-25.5	-49.5	5113
-25.5	-49.0	152
-25.5	-48.5	12
-25.5	28.0	992
-25.5	31.5	1
-25.0	-65.5	170
-25.0	-54.5	5
-25.0	-54.0	15
-25.0	-53.5	317
-25.0	-53.0	2
-25.0	-52.0	2
-25.0	-51.0	29
-25.0	-50.5	5
-25.0	-50.0	640
-25.0	30.0	3
-25.0	152.5	7
-24.5	-65.0	17
-24.5	-54.0	4
-24.5	-53.5	17
-24.5	-52.5	4
-24.5	-52.0	6
-24.5	-51.5	1
-24.5	-50.5	87
-24.5	-49.5	1
-24.5	-48.0	9
-24.5	-47.5	4
-24.5	26.0	723
-24.0	-65.5	27
-24.0	-54.5	7
-24.0	-54.0	18
-24.0	-53.5	18
-24.0	-53.0	2
-24.0	-52.5	56
-24.0	-52.0	1
-24.0	-51.5	19
-24.0	-50.0	3
-24.0	-49.5	6
-24.0	-49.0	1
-24.0	-48.5	5
-24.0	-48.0	6
-24.0	-47.5	8
-24.0	-47.0	65
-24.0	-46.5	701
-24.0	-46.0	18
-24.0	-45.5	6
-24.0	29.5	4
-24.0	31.0	16
-23.5	-70.5	653
-23.5	-58.5	5
-23.5	-53.5	2
-23.5	-52.5	71
-23.5	-52.0	978
-23.5	-51.5	758
-23.5	-51.0	1507
-23.5	-50.5	2
-23.5	-50.0	40
-23.5	-49.0	6
-23.5	-48.5	10
-23.5	-48.0	243
-23.5	-47.5	498
-23.5	-47.0	1296
-23.5	-46.5	43299
-23.5	-46.0	189
-23.5	-45.5	35
-23.5	-45.0	3
-23.5	17.0	2
-23.5	43.5	19
-23.0	-70.5	5
-23.0	-55.0	1
-23.0	-54.0	19
-23.0	-52.5	21
-23.0	-52.0	10
-23.0	-51.5	2
-23.0	-51.0	31
-23.0	-50.5	193
-23.0	-50.0	559
-23.0	-49.5	167
-23.0	-49.0	49
-23.0	-48.5	131
-23.0	-48.0	13
-23.0	-47.5	439
-23.0	-47.0	5668
-23.0	-46.5	45
-23.0	-46.0	2905
-23.0	-45.5	364
-23.0	-45.0	110
-23.0	-44.5	4
-23.0	-44.0	20
-23.0	-43.5	710
-23.0	-43.0	12698
-23.0	-42.5	46
-23.0	-42.0	81
-23.0	30.0	11
-23.0	30.5	3
-23.0	48.0	3
-22.5	-69.0	163
-22.5	-55.5	10
-22.5	-55.0	3
-22.5	-54.5	4
-22.5	-54.0	4
-22.5	-52.0	2
-22.5	-51.5	12
-22.5	-51.0	2
-22.5	-50.5	152
-22.5	-50.0	7
-22.5	-49.5	8
-22.5	-49.0	433
-22.5	-48.5	43
-22.5	-48.0	17
-22.5	-47.5	808
-22.5	-47.0	337
-22.5	-46.5	50
-22.5	-46.0	100
-22.5	-45.5	4405
-22.5	-45.0	214
-22.5	-44.5	75
-22.5	-44.0	151
-22.5	-43.5	30
-22.5	-43.0	288
-22.5	-42.5	112
-22.5	-42.0	258
-22.5	17.0	338
-22.5	27.0	9
-22.5	166.5	15
-22.0	-70.0	1
-22.0	-56.5	2
-22.0	-55.0	243
-22.0	-54.5	6
-22.0	-52.0	4
-22.0	-51.5	478
-22.0	-51.0	7
-22.0	-50.5	50
-22.0	-50.0	487
-22.0	-49.5	22
-22.0	-49.0	17
-22.0	-48.5	20
-22.0	-48.0	3342
-22.0	-47.5	60
-22.0	-47.0	175
-22.0	-46.5	67
-22.0	-46.0	1225
-22.0	-45.5	312
-22.0	-45.0	8
-22.0	-43.5	1369
-22.0	-43.0	31
-22.0	-42.5	85
-22.0	-42.0	30
-22.0	-41.5	314
-22.0	22.0	183
-21.5	-64.5	28
-21.5	-52.5	1
-21.5	-51.5	7
-21.5	-51.0	8
