lat	lng	count
-55.0	-68.5	109
-54.0	-67.5	60
-53.5	-70.5	1
-53.0	-71.0	437
-51.5	-69.0	98
-51.5	-58.0	29
-50.0	-69.0	9
-49.5	-72.0	28
-47.0	-71.0	6
-47.0	-68.0	1
-46.5	-74.0	34
-46.5	-67.5	21
-46.5	168.5	10
-46.0	-68.0	1
-46.0	-67.5	56
-46.0	170.5	233
-45.5	-72.0	131
-45.5	-68.0	13
-45.5	-67.5	24
-45.5	167.5	13
-45.0	-72.5	3
-45.0	168.5	7
-45.0	169.5	3
-44.5	169.0	1
-44.5	171.5	10
-44.0	-70.5	10
-44.0	171.0	3
-44.0	171.5	3
-44.0	172.0	1
-43.5	-65.5	51
-43.5	-65.0	12
-43.5	172.5	655
-43.0	-73.5	3
-43.0	-71.5	16
-43.0	-65.5	40
-43.0	-65.0	195
-43.0	147.0	4
-43.0	147.5	743
-42.5	-74.0	128
-42.5	-73.5	3
-42.5	-64.5	1
-42.5	171.0	134
-42.5	172.0	1
-42.0	-74.0	29
-42.0	-73.0	85
-42.0	-71.5	16
-42.0	172.5	16
-41.5	-73.0	2410
-41.5	146.0	16
-41.5	147.0	195
-41.5	148.0	3
-41.5	173.5	65
-41.5	174.0	5
-41.5	175.0	497
-41.0	-73.0	39
-41.0	-71.5	112
-41.0	-69.5	145
-41.0	-65.5	5
-41.0	-64.0	12
-41.0	146.0	33
-41.0	147.0	4
-41.0	174.0	1080
-41.0	175.0	185
-41.0	175.5	3
-40.5	-73.0	683
-40.5	175.0	8
-40.5	175.5	228
-40.5	176.0	1
-40.0	-73.0	5285
-40.0	-71.5	50
-40.0	175.0	58
-40.0	175.5	4
-40.0	176.0	6
-39.5	-73.0	24
-39.5	-72.5	7
-39.5	-72.0	25
-39.5	-66.0	32
-39.5	177.0	60
-39.0	-72.5	33
-39.0	-71.0	6
-39.0	-69.0	15
-39.0	-68.5	2
-39.0	-68.0	576
-39.0	-67.5	297
-39.0	-62.0	8
-39.0	174.0	27
-39.0	176.0	4
-38.5	-73.0	119
-38.5	-72.5	3598
-38.5	-72.0	24
