country	population
China	1415045928
India	1354051854
United States	326766748
Indonesia	266794980
Brazil	210867954
Pakistan	200813818
Nigeria	195875237
Bangladesh	166368149
Russia	143964709
Mexico	130759074
Japan	127185332
Ethiopia	107534882
Philippines	106512074
Egypt	99375741
Vietnam	96491146
DR Congo	84004989
Germany	82293457
Iran	82011735
Turkey	81916871
Thailand	69183173
United Kingdom	66573504
France	65233271
Italy	59290969
Tanzania	59091392
South Africa	57398421
Myanmar	53855735
South Korea	51164435
Kenya	50950879
Colombia	49464683
Spain	46397452
Argentina	44688864
Uganda	44270563
Ukraine	44009214
Algeria	42008054
Sudan	41511526
Iraq	39339753
Poland	38104832
Canada	36953765
Afghanistan	36373176
Morocco	36191805
Saudi Arabia	33554343
Peru	32551815
Venezuela	32381221
Uzbekistan	32364996
Malaysia	32042458
Angola	30774205
Mozambique	30528673
Nepal	29624035
Ghana	29463643
Yemen	28915284
Madagascar	26262810
North Korea	25610672
Ivory Coast	24905843
Australia	24772247
Cameroon	24678234
Taiwan	23694089
Niger	22311375
Sri Lanka	20950041
Burkina Faso	19751651
Romania	19580634
Malawi	19164728
Mali	19107706
Kazakhstan	18403860
Syria	18284407
Chile	18197209
Zambia	17609178
Guatemala	17245346
Netherlands	17084459
Zimbabwe	16913261
Ecuador	16863425
Senegal	16294270
Cambodia	16245729
Chad	15353184
Somalia	15181925
Guinea	13052608
South Sudan	12919053
Rwanda	12501156
Tunisia	11659174
Belgium	11498519
Cuba	11489082
Benin	11485674
Burundi	11216450
Bolivia	11215674
Greece	11142161
Haiti	11112945
Dominican Republic	10882996
Czech Republic	10625250
Portugal	10291196
Sweden	9982709
Azerbaijan	9923914
Jordan	9903802
Hungary	9688847
United Arab Emirates	9541615
Belarus	9452113
Honduras	9417167
Tajikistan	9107211
Serbia	8762027
Austria	8751820
Switzerland	8544034
Israel	8452841
Papua New Guinea	8418346
Togo	7990926
Sierra Leone	7719729
Hong Kong	7428887
Bulgaria	7036848
Laos	6961210
Paraguay	6896908
Libya	6470956
El Salvador	6411558
Nicaragua	6284757
Kyrgyzstan	6132932
Lebanon	6093509
Turkmenistan	5851466
Singapore	5791901
Denmark	5754356
Finland	5542517
Slovakia	5449816
Republic of the Congo	5399895
Norway	5353363
Eritrea	5187948
Palestine	5052776
Costa Rica	4953199
Liberia	4853516
Oman	4829946
Ireland	4803748
New Zealand	4749598
Central African Republic	4737423
Mauritania	4540068
Kuwait	4197128
Croatia	4164783
Panama	4162618
Moldova	4041065
Georgia	3907131
Puerto Rico	3659007
Bosnia and Herzegovina	3503554
Uruguay	3469551
Mongolia	3121772
Albania	2934363
Armenia	2934152
Jamaica	2898677
Lithuania	2876475
Qatar	2694849
Namibia	2587801
Botswana	2333201
Lesotho	2263010
Gambia	2163765
Macedonia	2085051
Slovenia	2081260
Gabon	2067561
Latvia	1929938
Guinea-Bissau	1907268
Bahrain	1566993
Swaziland	1391385
Trinidad and Tobago	1372598
Timor-Leste	1324094
Equatorial Guinea	1313894
Estonia	1306788
Mauritius	1268315
Cyprus	1189085
Djibouti	971408
Fiji	912241
Reunion	883247
Comoros	832347
Bhutan	817054
Guyana	782225
Macau	632418
Montenegro	629219
Solomon Islands	623281
Luxembourg	590321
Suriname	568301
Western Sahara	567421
Cape Verde	553335
Guadeloupe	449173
Maldives	444259
Brunei	434076
Malta	432089
Bahamas	399285
Martinique	385065
Belize	382444
Iceland	337780
French Guiana	289763
Barbados	286388
French Polynesia	285859
Vanuatu	282117
New Caledonia	279821
Mayotte	259682
Sao Tome and Principe	208818
Samoa	197695
Saint Lucia	179667
Guam	165718
Curacao	161577
Kiribati	118414
Saint Vincent and the Grenadines	110200
Tonga	109008
Grenada	108339
Micronesia	106227
Aruba	105670
United States Virgin Islands	104914
Antigua and Barbuda	103050
Seychelles	95235
Isle of Man	84831
Andorra	76953
Dominica	74308
Cayman Islands	62348
Bermuda	61070
Greenland	56565
Saint Kitts and Nevis	55850
American Samoa	55679
Northern Mariana Islands	55194
Marshall Islands	53167
Faroe Islands	49489
Sint Maarten	40552
Monaco	38897
Liechtenstein	38155
Turks and Caicos Islands	35963
Gibraltar	34733
San Marino	33557
British Virgin Islands	31719
Palau	21964
Cook Islands	17411
Anguilla	15045
Wallis and Futuna	11683
Nauru	11312
Tuvalu	11287
Saint Pierre and Miquelon	6342
Montserrat	5203
Falkland Islands	2922
Niue	1624
Tokelau	1319
Vatican City	801
Jersey	0
Guernsey	0
Saint Martin	0
Curaçao	161577
Myanmar (Burma)	53855735
Federated States of Micronesia	106227
Macedonia (FYROM)	2085051
São Tomé and Príncipe	208818
The Bahamas	399285
The Gambia	2163765
U.S. Virgin Islands	104914
Czechia	10625250
Democratic Republic of the Congo	84004989
