publisher	publisherLabel	doi
http://www.wikidata.org/entity/Q6080223	Ishik University	10.23918
http://www.wikidata.org/entity/Q3551402	De Montfort University	10.3943
http://www.wikidata.org/entity/Q182973	University of Iowa	10.17077
http://www.wikidata.org/entity/Q10272336	Q10272336	10.24120
http://www.wikidata.org/entity/Q7894893	University Press of Florida	10.5744
http://www.wikidata.org/entity/Q629906	Kitaibela	10.17542
http://www.wikidata.org/entity/Q463779	American Concrete Institute	10.14359
http://www.wikidata.org/entity/Q27719880	Honvedorvos	10.29068
http://www.wikidata.org/entity/Q156406	Universidade Estadual de Feira de Santana	10.13102
http://www.wikidata.org/entity/Q17012194	American Registry of Professional Animal Scientists	10.15232
http://www.wikidata.org/entity/Q27710110	Magyar traumatologia, ortopedia, kezsebeszet, plasztikai sebeszet	10.21755
http://www.wikidata.org/entity/Q17130911	National Association of Geoscience Teachers	10.5408
http://www.wikidata.org/entity/Q27991305	Lectito BV	10.20897
http://www.wikidata.org/entity/Q26842623	Veterinary world	10.14202
http://www.wikidata.org/entity/Q7552352	Society of American Archivists	10.17723
http://www.wikidata.org/entity/Q7756671	The Peregrine Fund	10.4080
http://www.wikidata.org/entity/Q5917394	Instituto Juan de Herrera	10.7760
http://www.wikidata.org/entity/Q287076	ABC	10.18034
http://www.wikidata.org/entity/Q7914844	Vanguard University of Southern California	10.19099
http://www.wikidata.org/entity/Q4809396	Association for Applied Psychophysiology and Biofeedback	10.5298
http://www.wikidata.org/entity/Q30908791	Q30908791	10.17772
http://www.wikidata.org/entity/Q2096577	Scientific and Technological Research Council of Turkey	10.3906
http://www.wikidata.org/entity/Q2096577	Scientific and Technological Research Council of Turkey	10.5086
http://www.wikidata.org/entity/Q10274363	Q10274363	10.21874
http://www.wikidata.org/entity/Q18941968	Surabaya_State_University	10.26740
http://www.wikidata.org/entity/Q23894289	Canadian Society of Hospital Pharmacists	10.4212
http://www.wikidata.org/entity/Q10387813	State University of Roraima	10.24979
http://www.wikidata.org/entity/Q15755084	Critica	10.22476
http://www.wikidata.org/entity/Q28404639	Weed Science Society of America	10.1614
http://www.wikidata.org/entity/Q4809472	Association for Learning Technology	10.25304
http://www.wikidata.org/entity/Q12523422	Universitas Pancasakti	10.24905
http://www.wikidata.org/entity/Q19365339	Q19365339	10.3337
http://www.wikidata.org/entity/Q11508578	Japan Veterinary Medical Association	10.12935
http://www.wikidata.org/entity/Q24529018	The Society for Biotechnology, Japan	10.1263
http://www.wikidata.org/entity/Q18435070	Szczecin Scientific Society	10.3750
http://www.wikidata.org/entity/Q15756123	International Journal of Educational Research	10.19160
http://www.wikidata.org/entity/Q7545317	Smith School of Enterprise and the Environment	10.4210
http://www.wikidata.org/entity/Q1786078	Loyola Marymount University	10.15365
http://www.wikidata.org/entity/Q15814337	Journal of Advances in Modeling Earth Systems	10.3894
http://www.wikidata.org/entity/Q4538869	Yaroslavl State Pedagogical University	10.20323
http://www.wikidata.org/entity/Q27719052	Cuadernos del CLAEH	10.29192
http://www.wikidata.org/entity/Q5969782	ICT Academy	10.21917
http://www.wikidata.org/entity/Q781108	University of León	10.18002
http://www.wikidata.org/entity/Q7552374	Society of Antiquaries of Scotland	10.9750
http://www.wikidata.org/entity/Q4745047	American Society of Agronomy	10.2134
http://www.wikidata.org/entity/Q4745047	American Society of Agronomy	10.3198
http://www.wikidata.org/entity/Q4745047	American Society of Agronomy	10.4195
http://www.wikidata.org/entity/Q4062936	Altai State University	10.14258
http://www.wikidata.org/entity/Q3759392	Gemological Institute of America	10.5741
http://www.wikidata.org/entity/Q25337197	Q25337197	10.29094
http://www.wikidata.org/entity/Q1424978	Silesian University of Technology	10.20858
http://www.wikidata.org/entity/Q15762471	Genetics and Molecular Research	10.4238
http://www.wikidata.org/entity/Q12506028	Polytechnic of Lampung State	10.25181
http://www.wikidata.org/entity/Q5053274	Catholic University of the Maule	10.29035
http://www.wikidata.org/entity/Q6064236	Iowa Academy of Science	10.17833
http://www.wikidata.org/entity/Q30263226	Institute of Socio-Economic Development of Territories	10.15838
http://www.wikidata.org/entity/Q15217527	Catholic University Los Angeles of Chimbote	10.21895
http://www.wikidata.org/entity/Q11310492	The Joanna Briggs Institute	10.11124
http://www.wikidata.org/entity/Q30272480	Japan Foundation Sydney	10.21159
http://www.wikidata.org/entity/Q5256363	Demos Medical Publishing	10.5003
http://www.wikidata.org/entity/Q11509310	The Iron and Steel Institute of Japan	10.2355
http://www.wikidata.org/entity/Q3181122	Padjadjaran University	10.24198
http://www.wikidata.org/entity/Q2585125	British Society for Plant Pathology	10.5197
http://www.wikidata.org/entity/Q17145191	International Deep Drawing Research Group	10.11135
http://www.wikidata.org/entity/Q20438681	Q20438681	10.18395
http://www.wikidata.org/entity/Q10372620	Brazilian Chemical Society	10.21577
http://www.wikidata.org/entity/Q18480516	Q18480516	10.14450
http://www.wikidata.org/entity/Q7080970	Ohio State University Press	10.26818
http://www.wikidata.org/entity/Q18405432	Tomsk Cancer Research Institute	10.21294
http://www.wikidata.org/entity/Q1141940	Management Information Systems Quarterly	10.25300
http://www.wikidata.org/entity/Q10279456	Q10279456	10.17695
http://www.wikidata.org/entity/Q16799713	Paradigm Publishers	10.5816
http://www.wikidata.org/entity/Q3407965	Proteopedia	10.14576
http://www.wikidata.org/entity/Q26842116	Revista brasileira de hematologia e hemoterapia	10.5581
http://www.wikidata.org/entity/Q1506059	Modern Language Association	10.1632
http://www.wikidata.org/entity/Q1506059	Modern Language Association	10.17613
http://www.wikidata.org/entity/Q5508996	Fundação Getúlio Vargas	10.12660
http://www.wikidata.org/entity/Q7603607	State University of Makassar	10.26858
http://www.wikidata.org/entity/Q4743598	American Dental Education Association	10.21815
http://www.wikidata.org/entity/Q33443258	The World Bank.	10.1596
http://www.wikidata.org/entity/Q33443258	The World Bank.	10.19147
http://www.wikidata.org/entity/Q1865003	Lithuanian Academy of Sciences	10.3952
http://www.wikidata.org/entity/Q1865003	Lithuanian Academy of Sciences	10.6001
http://www.wikidata.org/entity/Q5264294	Design Research Society	10.21606
http://www.wikidata.org/entity/Q1362380	World Agroforestry Centre	10.5716
http://www.wikidata.org/entity/Q7683446	Tanjungpura University	10.26418
http://www.wikidata.org/entity/Q7895011	University of Adelaide Press	10.20851
http://www.wikidata.org/entity/Q7894381	Universidade Federal do Amapá	10.18468
http://www.wikidata.org/entity/Q9384597	Chinese Geoscience Union	10.3319
http://www.wikidata.org/entity/Q1273969	Academic Search	10.1033
http://www.wikidata.org/entity/Q26842650	North American journal of medical sciences	10.4297
http://www.wikidata.org/entity/Q24529005	Botanical Society of Japan	10.15281
http://www.wikidata.org/entity/Q750863	American Physical Therapy Association	10.2522
http://www.wikidata.org/entity/Q7374855	Royal Society of South Australia	10.4205
http://www.wikidata.org/entity/Q4346375	Association for Computational Linguistics	10.18653
http://www.wikidata.org/entity/Q4346375	Association for Computational Linguistics	10.3115
http://www.wikidata.org/entity/Q390287	Eötvös Loránd University	10.21862
http://www.wikidata.org/entity/Q27724594	Journal of young investigators	10.22186
http://www.wikidata.org/entity/Q1162147	Hungarian Linguistic Society	10.26546
http://www.wikidata.org/entity/Q49119	Brandeis University	10.26812
http://www.wikidata.org/entity/Q247556	American Chemical Society	10.1021
http://www.wikidata.org/entity/Q464704	American Geophysical Union	10.1029
http://www.wikidata.org/entity/Q1572940	Hamburg University Press	10.15460
http://www.wikidata.org/entity/Q2496347	University Library of Tübingen	10.15496
http://www.wikidata.org/entity/Q7232008	Portland Press	10.1042
http://www.wikidata.org/entity/Q905549	Royal Society of Chemistry	10.1039
http://www.wikidata.org/entity/Q233358	Public Library of Science	10.1371
http://www.wikidata.org/entity/Q19370762	Pensoft Publishers	10.3897
http://www.wikidata.org/entity/Q131566	Institute of Electrical and Electronics Engineers	10.1109
http://www.wikidata.org/entity/Q176916	Springer Science+Business Media	10.1007
http://www.wikidata.org/entity/Q176916	Springer Science+Business Media	10.1023
http://www.wikidata.org/entity/Q217595	Oxford University Press	10.1093
http://www.wikidata.org/entity/Q463494	BioMed Central	10.1186
http://www.wikidata.org/entity/Q564783	Göttingen State and University Library	10.3249
http://www.wikidata.org/entity/Q767319	Wiley-Blackwell	10.1002
http://www.wikidata.org/entity/Q767319	Wiley-Blackwell	10.1034
http://www.wikidata.org/entity/Q767319	Wiley-Blackwell	10.1046
http://www.wikidata.org/entity/Q754454	ResearchGate	10.13140
http://www.wikidata.org/entity/Q1164410	Institution of Engineering and Technology	10.1049
http://www.wikidata.org/entity/Q2420769	Thieme Medical Publishers	10.1055
http://www.wikidata.org/entity/Q3350649	Corporation for National Research Initiatives	10.1045
http://www.wikidata.org/entity/Q4745140	American Speech–Language–Hearing Association	10.1044
http://www.wikidata.org/entity/Q5118204	Churchill Livingstone	10.1054
http://www.wikidata.org/entity/Q127992	Association for Computing Machinery	10.1145
http://www.wikidata.org/entity/Q1814982	University of Chicago Press	10.1086
http://www.wikidata.org/entity/Q5062908	Centro de Estudios Políticos y Constitucionales	10.18042
http://www.wikidata.org/entity/Q19835482	BioRxiv	10.1101
http://www.wikidata.org/entity/Q22661177	Zenodo	10.5281
http://www.wikidata.org/entity/Q1024362	Spanish National Research Council	10.3989
http://www.wikidata.org/entity/Q7427441	Saunders	10.1053
http://www.wikidata.org/entity/Q17989936	Check List	10.15560
http://www.wikidata.org/entity/Q19822542	Fundref registry	10.13039
http://www.wikidata.org/entity/Q180419	Nature Publishing Group	10.1038
http://www.wikidata.org/entity/Q465697	American Medical Association	10.1001
http://www.wikidata.org/entity/Q466587	American Psychological Association	10.1037
http://www.wikidata.org/entity/Q3432887	Århus State and University Library	10.7146
http://www.wikidata.org/entity/Q4731828	Allen Press	10.1043
http://www.wikidata.org/entity/Q5168538	Copernicus Publications	10.5194
http://www.wikidata.org/entity/Q5700613	International Journal of Engineering	10.5829/idosi.ije
http://www.wikidata.org/entity/Q27670084	Law and modern states	10.14420
http://www.wikidata.org/entity/Q114404	EDP Sciences	10.1051
http://www.wikidata.org/entity/Q252430	Persée	10.3406
http://www.wikidata.org/entity/Q746413	Elsevier	10.1006
http://www.wikidata.org/entity/Q746413	Elsevier	10.1016
http://www.wikidata.org/entity/Q912887	Cambridge University Press	10.1017
http://www.wikidata.org/entity/Q29039882	British Art Studies	10.17658
http://www.wikidata.org/entity/Q44179317	Journal of Institute of Control, Robotics and Systems	10.5302/J.ICROS
http://www.wikidata.org/entity/Q212971	Request for Comments	10.17487
http://www.wikidata.org/entity/Q4567256	Norwegian Medical Association	10.4045
http://www.wikidata.org/entity/Q11492856	Japan Society of Information and Knowledge	10.2964
http://www.wikidata.org/entity/Q15764112	The Journal of Solid Waste Technology and Management	10.5276
http://www.wikidata.org/entity/Q4787032	Architectural Institute of Korea	10.5659
http://www.wikidata.org/entity/Q1041598	Wrocław University of Economics	10.15611
http://www.wikidata.org/entity/Q4064197	American College of Gastroenterology	10.14309
http://www.wikidata.org/entity/Q3551699	Q3551699	10.18593
http://www.wikidata.org/entity/Q1416331	Cardinal Stefan Wyszyński University in Warsaw	10.21697
http://www.wikidata.org/entity/Q2415267	William and Mary Quarterly	10.5309
http://www.wikidata.org/entity/Q2886844	ISCTE – Lisbon University Institute	10.15847
http://www.wikidata.org/entity/Q1256518	American Numismatic Society	10.26608
http://www.wikidata.org/entity/Q7554882	Soil Science Society of America	10.2136
http://www.wikidata.org/entity/Q4259201	Muhammadiyah University of Surakarta	10.23917
http://www.wikidata.org/entity/Q17099715	Undersea and Hyperbaric Medical Society	10.22462
http://www.wikidata.org/entity/Q1247135	Carlos III University of Madrid	10.20318
http://www.wikidata.org/entity/Q10302480	Federal Institute of Paraiba	10.18265
http://www.wikidata.org/entity/Q7894390	Universidade Paranaense	10.25110
http://www.wikidata.org/entity/Q1537684	Queensland Museum	10.17082
http://www.wikidata.org/entity/Q15766993	Journal of Chinese Pharmaceutical Sciences	10.5246
http://www.wikidata.org/entity/Q7228043	Ponta Grossa State University	10.5212
http://www.wikidata.org/entity/Q6658601	Liverpool University Press	10.3828
http://www.wikidata.org/entity/Q6054171	International University of Struga	10.21520
http://www.wikidata.org/entity/Q15745260	Communications in Information Literacy	10.7548
http://www.wikidata.org/entity/Q1473677	University of Santiago de Compostela	10.15304
